Vernier Format 2
elastico-imperfecto-bumper.txt 3/3/2024 1:58:41
Serie 1
Tiempo	Posicion	Velocidad	Aceleracion	Posicion	Velocidad	Aceleracion	Posicion	
0,96	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,97	0,0000	0,000	0,000	0,0000	0,000	0,000		
0,99	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,00	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,01	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,03	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,04	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,05	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,07	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,08	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,09	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,11	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,12	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,13	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,15	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,16	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,17	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,19	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,20	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,21	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,23	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,24	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,25	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,27	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,28	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,29	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,31	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,32	0,0000	0,000	0,000	0,0000	0,000	0,000		
1,33	0,0000	0,000	-0,004	0,0000	0,000	0,000		
1,35	0,0000	0,000	-0,035	0,0000	0,000	0,000		
1,36	0,0000	0,000	-0,182	0,0000	0,000	0,000		
1,37	0,0000	-0,002	-0,564	0,0000	0,000	0,000		
1,39	0,0000	-0,010	-1,224	0,0000	0,000	0,000		
1,40	0,0000	-0,038	-1,649	0,0000	0,000	0,000		
1,41	-0,0010	-0,065	-1,402	0,0000	0,000	0,000		
1,43	-0,0020	-0,075	-1,129	0,0000	0,000	0,000		
1,44	-0,0030	-0,085	-1,411	0,0000	0,000	0,000		
1,45	-0,0040	-0,113	-1,719	0,0000	0,000	0,004		
1,47	-0,0060	-0,140	-1,584	0,0000	0,000	0,030		
1,48	-0,0080	-0,152	-1,667	0,0000	0,000	0,152		
1,49	-0,0100	-0,171	-2,504	0,0000	0,002	0,417		
1,51	-0,0120	-0,223	-3,034	0,0000	0,008	0,842		
1,52	-0,0160	-0,273	-2,209	0,0000	0,029	0,990		
1,53	-0,0200	-0,277	-1,602	0,0010	0,038	0,977		
1,55	-0,0230	-0,302	-1,866	0,0010	0,048	1,380		
1,56	-0,0280	-0,331	-1,936	0,0020	0,075	1,710		
1,57	-0,0320	-0,352	-2,040	0,0030	0,102	1,563		
1,59	-0,0370	-0,394	-1,563	0,0050	0,115	1,576		
1,60	-0,0430	-0,402	-0,612	0,0060	0,131	2,396		
1,61	-0,0480	-0,394	-0,694	0,0080	0,181	3,060		
1,63	-0,0530	-0,415	-1,142	0,0110	0,223	3,073		
1,64	-0,0590	-0,438	-0,816	0,0140	0,263	3,082		
1,65	-0,0650	-0,442	-0,139	0,0180	0,302	3,251		
1,67	-0,0710	-0,429	-0,174	0,0220	0,346	3,624		
1,68	-0,0760	-0,444	-0,404	0,0270	0,404	3,620		
1,69	-0,0830	-0,448	-0,143	0,0330	0,448	3,221		
1,71	-0,0880	-0,448	0,139	0,0390	0,488	2,930		
1,72	-0,0950	-0,444	0,369	0,0460	0,525	2,661		
1,73	-0,1000	-0,429	-0,004	0,0530	0,560	2,248		
1,75	-0,1060	-0,444	-0,391	0,0610	0,590	1,554		
1,76	-0,1120	-0,448	-0,230	0,0690	0,600	0,981		
1,77	-0,1180	-0,450	0,026	0,0770	0,608	0,846		
1,79	-0,1240	-0,448	0,356	0,0850	0,627	0,460		
1,80	-0,1300	-0,442	0,655	0,0940	0,627	-0,243		
1,81	-0,1360	-0,423	0,421	0,1020	0,610	-0,273		
1,83	-0,1410	-0,423	-0,273	0,1100	0,610	0,278		
1,84	-0,1470	-0,440	-0,391	0,1180	0,627	0,278		
1,85	-0,1530	-0,442	0,039	0,1270	0,627	-0,278		
1,87	-0,1590	-0,429	-0,026	0,1350	0,610	-0,278		
1,88	-0,1640	-0,442	-0,161	0,1430	0,610	0,278		
1,89	-0,1710	-0,442	0,161	0,1510	0,627	0,278		
1,91	-0,1760	-0,429	0,026	0,1600	0,627	-0,278		
1,92	-0,1820	-0,442	-0,035	0,1680	0,610	-0,278		
1,93	-0,1880	-0,440	0,417	0,1760	0,610	0,273		
1,95	-0,1940	-0,423	0,395	0,1840	0,627	0,252		
1,96	-0,1990	-0,421	-0,156	0,1930	0,627	-0,395		
1,97	-0,2050	-0,435	-0,239	0,2010	0,608	-0,512		
1,99	-0,2110	-0,427	-0,256	0,2090	0,604	-0,000		
2,00	-0,2160	-0,442	-0,252	0,2170	0,608	0,508		
2,01	-0,2230	-0,442	0,256	0,2250	0,627	0,369		
2,03	-0,2280	-0,427	0,282	0,2340	0,627	-0,369		
2,04	-0,2340	-0,435	0,356	0,2420	0,608	-0,508		
2,05	-0,2400	-0,419	0,395	0,2500	0,604	0,000		
2,07	-0,2450	-0,417	-0,095	0,2580	0,608	0,508		
2,08	-0,2510	-0,421	-0,556	0,2660	0,627	0,365		
2,09	-0,2560	-0,440	-0,490	0,2750	0,627	-0,395		
2,11	-0,2630	-0,442	0,139	0,2830	0,608	-0,625		
2,12	-0,2680	-0,427	0,256	0,2910	0,602	-0,234		
2,13	-0,2740	-0,435	0,352	0,2990	0,602	0,234		
2,15	-0,2800	-0,419	0,395	0,3070	0,608	0,625		
2,16	-0,2850	-0,417	-0,091	0,3150	0,627	0,391		
2,17	-0,2910	-0,421	-0,530	0,3240	0,627	-0,395		
2,19	-0,2960	-0,440	-0,373	0,3320	0,608	-0,655		
2,20	-0,3030	-0,440	0,373	0,3400	0,602	-0,378		
2,21	-0,3080	-0,421	0,534	0,3480	0,600	-0,117		
2,23	-0,3140	-0,417	0,117	0,3560	0,600	0,117		
2,24	-0,3190	-0,419	-0,273	0,3640	0,602	0,378		
2,25	-0,3250	-0,433	-0,091	0,3720	0,608	0,655		
2,27	-0,3310	-0,421	0,139	0,3800	0,627	0,395		
2,28	-0,3360	-0,421	-0,139	0,3890	0,627	-0,395		
2,29	-0,3420	-0,433	0,117	0,3970	0,608	-0,677		
2,31	-0,3480	-0,419	0,508	0,4050	0,602	-0,586		
2,32	-0,3530	-0,417	1,185	0,4130	0,600	-1,302		
2,33	-0,3590	-0,408	3,946	0,4210	0,590	-4,123		
2,35	-0,3640	-0,365	10,330	0,4290	0,533	-10,022		
2,36	-0,3710	-0,152	17,375	0,4370	0,340	-16,459		
2,37	-0,3700	0,192	17,510	0,4400	0,017	-16,984		
2,39	-0,3640	0,408	10,673	0,4360	-0,208	-10,526		
2,40	-0,3570	0,467	3,820	0,4320	-0,256	-3,932		
2,41	-0,3510	0,458	0,525	0,4290	-0,263	-0,773		
2,43	-0,3450	0,452	-0,174	0,4250	-0,256	0,308		
2,44	-0,3390	0,450	-0,126	0,4220	-0,242	0,122		
2,45	-0,3330	0,450	-0,030	0,4190	-0,254	-0,126		
2,47	-0,3270	0,450	-0,004	0,4150	-0,254	0,161		
2,48	-0,3210	0,450	-0,000	0,4120	-0,242	-0,000		
2,49	-0,3150	0,450	0,000	0,4090	-0,254	-0,161		
2,51	-0,3090	0,450	0,000	0,4050	-0,254	0,130		
2,52	-0,3030	0,450	0,000	0,4020	-0,242	-0,117		
2,53	-0,2970	0,450	-0,000	0,3990	-0,256	-0,395		
2,55	-0,2910	0,450	-0,000	0,3950	-0,260	-0,143		
2,56	-0,2850	0,450	-0,000	0,3920	-0,260	0,143		
2,57	-0,2790	0,450	-0,004	0,3880	-0,256	0,395		
2,59	-0,2730	0,450	-0,030	0,3850	-0,242	0,117		
2,60	-0,2670	0,450	-0,148	0,3820	-0,254	-0,130		
2,61	-0,2610	0,448	-0,382	0,3780	-0,254	0,161		
2,63	-0,2550	0,442	-0,655	0,3750	-0,242	0,000		
2,64	-0,2490	0,423	-0,395	0,3720	-0,254	-0,156		
2,65	-0,2440	0,423	0,395	0,3680	-0,254	0,156		
2,67	-0,2380	0,442	0,655	0,3650	-0,242	0,000		
2,68	-0,2320	0,448	0,382	0,3620	-0,254	-0,156		
2,69	-0,2260	0,450	0,143	0,3580	-0,254	0,161		
2,71	-0,2200	0,450	0,004	0,3550	-0,242	0,026		
2,72	-0,2140	0,450	-0,117	0,3520	-0,254	-0,039		
2,73	-0,2080	0,448	-0,265	0,3480	-0,252	0,395		
2,75	-0,2020	0,444	-0,421	0,3450	-0,235	0,299		
2,76	-0,1960	0,429	-0,122	0,3420	-0,235	-0,299		
2,77	-0,1910	0,442	0,130	0,3390	-0,252	-0,395		
2,79	-0,1840	0,442	-0,165	0,3350	-0,254	0,043		
2,80	-0,1790	0,429	-0,026	0,3320	-0,242	-0,000		
2,81	-0,1730	0,442	0,039	0,3290	-0,254	-0,043		
2,83	-0,1670	0,440	-0,391	0,3250	-0,252	0,395		
2,84	-0,1610	0,423	-0,278	0,3220	-0,235	0,304		
2,85	-0,1560	0,423	0,395	0,3190	-0,235	-0,273		
2,87	-0,1500	0,442	0,538	0,3160	-0,252	-0,278		
2,88	-0,1440	0,446	0,117	0,3120	-0,252	0,278		
2,89	-0,1380	0,444	-0,273	0,3090	-0,235	0,278		
2,91	-0,1320	0,429	-0,095	0,3060	-0,235	-0,273		
2,92	-0,1270	0,442	0,109	0,3030	-0,252	-0,252		
2,93	-0,1200	0,442	-0,282	0,2990	-0,252	0,395		
2,95	-0,1150	0,427	-0,260	0,2960	-0,233	0,512		
2,96	-0,1090	0,435	-0,239	0,2930	-0,229	0,000		
2,97	-0,1030	0,421	-0,161	0,2900	-0,233	-0,508		
2,99	-0,0980	0,423	0,369	0,2870	-0,252	-0,365		
3,00	-0,0920	0,440	0,299	0,2830	-0,252	0,395		
3,01	-0,0860	0,440	-0,273	0,2800	-0,233	0,625		
3,03	-0,0800	0,423	-0,278	0,2770	-0,227	0,234		
3,04	-0,0750	0,423	0,278	0,2740	-0,227	-0,234		
3,05	-0,0690	0,440	0,273	0,2710	-0,233	-0,625		
3,07	-0,0630	0,440	-0,304	0,2680	-0,252	-0,395		
3,08	-0,0570	0,423	-0,395	0,2640	-0,252	0,365		
3,09	-0,0520	0,421	0,039	0,2610	-0,233	0,508		
3,11	-0,0460	0,433	-0,026	0,2580	-0,229	-0,000		
3,12	-0,0400	0,421	-0,165	0,2550	-0,233	-0,508		
3,13	-0,0350	0,421	0,130	0,2520	-0,252	-0,365		
3,15	-0,0290	0,433	-0,135	0,2480	-0,252	0,395		
3,16	-0,0230	0,419	-0,543	0,2450	-0,233	0,625		
3,17	-0,0180	0,415	-0,942	0,2420	-0,227	0,234		
3,19	-0,0120	0,406	-2,478	0,2390	-0,227	-0,234		
3,20	-0,0070	0,373	-5,612	0,2360	-0,233	-0,625		
3,21	-0,0010	0,263	-8,785	0,2330	-0,252	-0,391		
3,23	0,0010	0,088	-8,269	0,2290	-0,252	0,395		
3,24	0,0000	0,000	-4,683	0,2260	-0,233	0,655		
3,25	0,0000	-0,015	-2,240	0,2230	-0,227	0,378		
3,27	0,0000	-0,038	-1,320	0,2200	-0,225	0,117		
3,28	-0,0010	-0,056	-0,352	0,2170	-0,225	-0,117		
3,29	-0,0020	-0,044	0,269	0,2140	-0,227	-0,378		
3,31	-0,0020	-0,040	0,260	0,2110	-0,233	-0,655		
3,32	-0,0030	-0,038	0,234	0,2080	-0,252	-0,395		
3,33	-0,0030	-0,035	0,260	0,2040	-0,252	0,395		
3,35	-0,0040	-0,031	0,278	0,2010	-0,233	0,655		
3,36	-0,0040	-0,019	-0,260	0,1980	-0,227	0,382		
3,37	-0,0040	-0,038	-0,790	0,1950	-0,225	0,148		
3,39	-0,0050	-0,056	-0,260	0,1920	-0,225	0,030		
3,40	-0,0060	-0,044	0,278	0,1890	-0,225	0,004		
3,41	-0,0060	-0,040	0,260	0,1860	-0,225	0,000		
3,43	-0,0070	-0,038	0,234	0,1830	-0,225	0,000		
3,44	-0,0070	-0,035	0,260	0,1800	-0,225	0,000		
3,45	-0,0080	-0,031	0,278	0,1770	-0,225	-0,000		
3,47	-0,0080	-0,019	-0,260	0,1740	-0,225	-0,000		
3,48	-0,0080	-0,038	-0,790	0,1710	-0,225	-0,000		
3,49	-0,0090	-0,056	-0,260	0,1680	-0,225	0,000		
3,51	-0,0100	-0,044	0,278	0,1650	-0,225	0,000		
3,52	-0,0100	-0,040	0,260	0,1620	-0,225	0,000		
3,53	-0,0110	-0,038	0,234	0,1590	-0,225	-0,000		
3,55	-0,0110	-0,035	0,260	0,1560	-0,225	-0,000		
3,56	-0,0120	-0,031	0,278	0,1530	-0,225	-0,000		
3,57	-0,0120	-0,019	-0,260	0,1500	-0,225	0,000		
3,59	-0,0120	-0,038	-0,786	0,1470	-0,225	0,000		
3,60	-0,0130	-0,056	-0,234	0,1440	-0,225	0,000		
3,61	-0,0140	-0,044	0,395	0,1410	-0,225	-0,000		
3,63	-0,0140	-0,038	0,495	0,1380	-0,225	-0,000		
3,64	-0,0150	-0,031	0,512	0,1350	-0,225	-0,000		
3,65	-0,0150	-0,017	0,026	0,1320	-0,225	0,004		
3,67	-0,0150	-0,031	-0,391	0,1290	-0,225	0,030		
3,68	-0,0160	-0,035	-0,260	0,1260	-0,225	0,148		
3,69	-0,0160	-0,038	-0,122	0,1230	-0,223	0,382		
3,71	-0,0170	-0,038	-0,026	0,1200	-0,217	0,655		
3,72	-0,0170	-0,038	-0,004	0,1170	-0,198	0,395		
3,73	-0,0180	-0,038	0,004	0,1150	-0,198	-0,395		
3,75	-0,0180	-0,038	0,026	0,1120	-0,217	-0,655		
3,76	-0,0190	-0,038	0,122	0,1090	-0,223	-0,382		
3,77	-0,0190	-0,035	0,260	0,1060	-0,225	-0,148		
3,79	-0,0200	-0,031	0,395	0,1030	-0,225	-0,026		
3,80	-0,0200	-0,017	0,000	0,1000	-0,225	0,026		
3,81	-0,0200	-0,031	-0,395	0,0970	-0,225	0,148		
3,83	-0,0210	-0,035	-0,256	0,0940	-0,223	0,382		
3,84	-0,0210	-0,038	-0,095	0,0910	-0,217	0,655		
3,85	-0,0220	-0,038	0,095	0,0880	-0,198	0,395		
3,87	-0,0220	-0,035	0,260	0,0860	-0,198	-0,391		
3,88	-0,0230	-0,031	0,421	0,0830	-0,217	-0,625		
3,89	-0,0230	-0,017	0,122	0,0800	-0,223	-0,234		
3,91	-0,0230	-0,029	-0,135	0,0770	-0,223	0,234		
3,92	-0,0240	-0,029	0,135	0,0740	-0,217	0,625		
3,93	-0,0240	-0,017	-0,122	0,0710	-0,198	0,391		
3,95	-0,0240	-0,031	-0,421	0,0690	-0,198	-0,391		
3,96	-0,0250	-0,035	-0,260	0,0660	-0,217	-0,625		
3,97	-0,0250	-0,038	-0,095	0,0630	-0,223	-0,234		
3,99	-0,0260	-0,038	0,095	0,0600	-0,223	0,234		
4,00	-0,0260	-0,035	0,260	0,0570	-0,217	0,625		
4,01	-0,0270	-0,031	0,425	0,0540	-0,198	0,395		
4,03	-0,0270	-0,017	0,148	0,0520	-0,198	-0,365		
4,04	-0,0270	-0,029	-0,013	0,0490	-0,217	-0,508		
4,05	-0,0280	-0,027	0,395	0,0460	-0,221	0,000		
4,07	-0,0280	-0,010	0,273	0,0430	-0,217	0,508		
4,08	-0,0280	-0,010	-0,421	0,0400	-0,198	0,369		
4,09	-0,0280	-0,029	-0,660	0,0380	-0,198	-0,369		
4,11	-0,0290	-0,035	-0,378	0,0350	-0,217	-0,508		
4,12	-0,0290	-0,038	-0,117	0,0320	-0,221	-0,000		
4,13	-0,0300	-0,038	0,117	0,0290	-0,217	0,512		
4,15	-0,0300	-0,035	0,378	0,0260	-0,198	0,395		
4,16	-0,0310	-0,029	0,660	0,0240	-0,198	-0,252		
4,17	-0,0310	-0,010	0,425	0,0210	-0,215	-0,273		
4,19	-0,0310	-0,010	-0,247	0,0180	-0,215	0,278		
4,20	-0,0310	-0,027	-0,273	0,0150	-0,198	0,278		
4,21	-0,0320	-0,027	0,278	0,0130	-0,198	-0,269		
4,23	-0,0320	-0,010	0,273	0,0100	-0,215	-0,200		
4,24	-0,0320	-0,010	-0,304	0,0070	-0,215	0,703		
4,25	-0,0320	-0,027	-0,399	0,0040	-0,194	1,710		
4,27	-0,0330	-0,029	0,013	0,0020	-0,173	2,991		
4,28	-0,0330	-0,017	-0,143	-0,0010	-0,123	4,592		
4,29	-0,0330	-0,031	-0,395	-0,0020	-0,027	4,453		
4,31	-0,0340	-0,035	-0,117	-0,0010	0,021	2,491		
4,32	-0,0340	-0,035	0,260	-0,0010	0,033	0,790		
4,33	-0,0350	-0,029	0,634	0,0000	0,031	-0,117		
4,35	-0,0350	-0,010	0,421	0,0000	0,017	0,048		
4,36	-0,0350	-0,010	-0,243	0,0000	0,031	0,399		
4,37	-0,0350	-0,027	-0,247	0,0010	0,035	0,260		
4,39	-0,0360	-0,027	0,395	0,0010	0,038	0,122		
4,40	-0,0360	-0,008	0,512	0,0020	0,038	0,022		
4,41	-0,0360	-0,004	-0,004	0,0020	0,038	-0,022		
4,43	-0,0360	-0,008	-0,538	0,0030	0,038	-0,122		
4,44	-0,0360	-0,027	-0,512	0,0030	0,035	-0,260		
4,45	-0,0370	-0,029	0,013	0,0040	0,031	-0,395		
4,47	-0,0370	-0,017	-0,030	0,0040	0,017	-0,004		
4,48	-0,0370	-0,029	-0,161	0,0040	0,031	0,369		
4,49	-0,0380	-0,029	0,161	0,0050	0,035	0,139		
4,51	-0,0380	-0,017	0,030	0,0050	0,035	-0,139		
4,52	-0,0380	-0,029	-0,013	0,0060	0,031	-0,369		
4,53	-0,0390	-0,027	0,512	0,0060	0,017	0,004		
4,55	-0,0390	-0,008	0,538	0,0060	0,031	0,395		
4,56	-0,0390	-0,004	0,004	0,0070	0,035	0,256		
4,57	-0,0390	-0,008	-0,508	0,0070	0,038	0,095		
4,59	-0,0390	-0,027	-0,365	0,0080	0,038	-0,095		
4,60	-0,0400	-0,027	0,395	0,0080	0,035	-0,256		
4,61	-0,0400	-0,008	0,625	0,0090	0,031	-0,395		
4,63	-0,0400	-0,002	0,234	0,0090	0,017	0,000		
4,64	-0,0400	-0,002	-0,239	0,0090	0,031	0,395		
4,65	-0,0400	-0,008	-0,655	0,0100	0,035	0,256		
4,67	-0,0400	-0,027	-0,538	0,0100	0,038	0,095		
4,68	-0,0410	-0,029	0,013	0,0110	0,038	-0,095		
4,69	-0,0410	-0,017	0,000	0,0110	0,035	-0,260		
4,71	-0,0410	-0,029	-0,017	0,0120	0,031	-0,421		
4,72	-0,0420	-0,027	0,512	0,0120	0,017	-0,122		
4,73	-0,0420	-0,008	0,538	0,0120	0,029	0,135		
4,75	-0,0420	-0,004	0,004	0,0130	0,029	-0,135		
4,76	-0,0420	-0,008	-0,508	0,0130	0,017	0,117		
4,77	-0,0420	-0,027	-0,365	0,0130	0,031	0,395		
4,79	-0,0430	-0,027	0,395	0,0140	0,035	0,143		
4,80	-0,0430	-0,008	0,625	0,0140	0,035	-0,139		
4,81	-0,0430	-0,002	0,234	0,0150	0,031	-0,369		
4,83	-0,0430	-0,002	-0,234	0,0150	0,017	-0,000		
4,84	-0,0430	-0,008	-0,625	0,0150	0,031	0,369		
4,85	-0,0430	-0,027	-0,391	0,0160	0,035	0,139		
4,87	-0,0440	-0,027	0,395	0,0160	0,035	-0,143		
4,88	-0,0440	-0,008	0,655	0,0170	0,031	-0,395		
4,89	-0,0440	-0,002	0,382	0,0170	0,017	-0,117		
4,91	-0,0440	0,000	0,148	0,0170	0,029	0,130		
4,92	-0,0440	0,000	0,026	0,0180	0,029	-0,161		
4,93	-0,0440	0,000	-0,027	0,0180	0,017	0,002		
4,95	-0,0440	0,000	-0,157	0,0180	0,029	0,170		
4,96	-0,0440	-0,002	-0,466	0,0190	0,029	-0,063		
4,97	-0,0440	-0,009	-1,001	0,0190	0,018	0,328		
4,99	-0,0440	-0,030	-1,455	0,0190	0,033	0,974		
5,00	-0,0450	-0,054	-1,683	0,0200	0,054	1,344		
